age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,name,team
28,118,131,136,64,32,0,10,67,42,3,132,7,.287,460,.353,.422,.775,3,3,.500,.500,4,1923,515,194,50,162,2,4,.315,0.96,0,46.00,Brendan Donovan,St. Louis Cardinals
27,72,21,39,21,11,1,7,32,18,1,37,3,.287,129,.387,.550,.937,0,2,1.000,.000,3,595,150,71,23,42,0,0,.333,0.54,0,18.43,Jahmai Jones,Detroit Tigers
28,120,140,115,53,18,3,11,82,29,0,133,5,.287,464,.331,.409,.740,0,2,1.000,.000,16,1801,504,190,59,198,0,6,.324,1.22,0,42.18,Alec Bohm,Philadelphia Phillies
25,160,168,181,81,39,5,16,84,62,0,170,1,.286,595,.351,.449,.800,9,23,.719,.281,14,2519,666,267,74,247,3,5,.308,0.93,0,37.19,Maikel Garcia,Kansas City Royals
25,83,60,87,44,12,1,9,53,29,3,79,1,.285,277,.353,.433,.786,2,2,.500,.500,6,1314,309,120,40,121,0,2,.323,0.69,0,30.78,Gabriel Moreno,Arizona Diamondbacks
30,63,46,62,26,12,0,5,42,15,0,58,2,.284,204,.333,.417,.750,0,2,1.000,.000,5,848,225,85,33,82,0,4,.329,0.74,0,40.80,Dominic Smith,San Francisco Giants
25,107,115,83,54,13,0,19,84,43,1,110,15,.284,388,.373,.464,.837,2,8,.800,.200,20,1809,452,180,66,160,0,4,.315,1.39,2,20.42,Iván Herrera,St. Louis Cardinals
25,139,164,156,75,20,5,3,88,49,2,159,3,.283,561,.343,.353,.696,7,27,.794,.206,6,2250,619,198,43,157,3,3,.330,1.05,0,187.00,Xavier Edwards,Miami Marlins
26,30,16,18,5,5,0,1,10,8,0,17,1,.283,60,.377,.417,.794,2,2,.500,.500,0,271,70,25,9,20,1,0,.327,0.89,0,60.00,José Fermín,St. Louis Cardinals
31,126,129,135,87,28,0,28,83,64,6,136,9,.283,480,.376,.517,.893,2,4,.667,.333,12,2095,556,248,72,203,0,3,.290,0.96,0,17.14,Ketel Marte,Arizona Diamondbacks
32,158,135,222,103,34,3,30,74,66,22,168,8,.283,593,.360,.503,.863,7,44,.863,.137,9,2666,673,298,85,210,0,5,.279,0.61,0,19.77,José Ramírez,Cleveland Guardians
26,50,50,33,22,8,1,1,31,22,0,44,1,.282,156,.374,.365,.739,4,11,.733,.267,6,749,181,57,7,67,2,0,.347,1.52,0,156.00,Austin Martin,Minnesota Twins
26,130,132,139,45,18,0,15,59,48,2,127,1,.282,451,.348,.421,.769,0,1,1.000,.000,16,1977,506,190,76,206,0,6,.292,0.95,0,30.07,Alejandro Kirk,Toronto Blue Jays
30,158,120,134,146,25,9,55,187,109,20,172,3,.282,611,.392,.622,1.014,6,20,.769,.231,9,2865,727,380,102,188,0,2,.315,0.90,2,11.11,Shohei Ohtani,Los Angeles Dodgers
26,28,22,27,14,9,0,4,22,4,0,27,1,.281,96,.314,.500,.814,0,0,.---,.---,0,385,103,48,25,26,1,1,.324,0.81,0,24.00,Miguel Amaya,Chicago Cubs
30,132,98,104,72,26,2,24,119,35,1,124,8,.281,441,.342,.512,.854,4,7,.636,.364,10,2002,488,226,76,202,0,4,.331,0.94,0,18.38,Ramón Laureano,San Diego Padres
26,110,133,93,50,20,2,2,51,34,0,106,11,.281,377,.354,.361,.715,9,18,.667,.333,10,1646,428,136,31,120,2,4,.317,1.43,0,188.50,Tyler Freeman,Colorado Rockies
31,144,117,119,67,21,1,17,109,58,4,133,8,.281,474,.366,.437,.803,1,3,.750,.250,11,2173,544,207,63,207,0,4,.330,0.98,0,27.88,Ryan O'Hearn,San Diego Padres
27,64,10,18,19,2,0,1,11,1,0,14,3,.280,50,.321,.380,.701,2,21,.913,.087,1,189,57,19,6,27,1,2,.325,0.56,0,50.00,Tyler Tolbert,Kansas City Royals
27,133,82,88,59,25,2,11,110,38,1,106,0,.280,379,.342,.443,.785,1,7,.875,.125,2,1657,425,168,43,167,3,4,.363,0.93,1,34.46,Brandon Marsh,Philadelphia Phillies
26,71,38,27,19,6,1,3,52,7,0,45,1,.280,161,.314,.385,.699,1,13,.929,.071,0,660,170,62,17,59,1,0,.396,1.41,0,53.67,Hyeseong Kim,Los Angeles Dodgers
26,126,91,114,54,21,2,13,110,23,2,121,9,.278,435,.327,.425,.752,0,0,.---,.---,5,1793,469,185,57,185,0,1,.345,0.80,1,33.46,Dillon Dingler,Detroit Tigers
25,144,100,140,73,28,5,31,152,33,0,150,4,.278,540,.323,.520,.843,2,1,.333,.667,16,2149,579,281,91,205,0,2,.331,0.71,0,17.42,Hunter Goodman,Colorado Rockies
29,157,129,216,83,35,2,9,61,27,1,151,4,.277,545,.313,.398,.711,5,6,.545,.455,13,1871,588,217,50,241,7,5,.296,0.60,0,60.56,Ernie Clement,Toronto Blue Jays
31,146,91,100,61,24,1,17,136,39,0,124,11,.277,448,.347,.449,.796,7,11,.611,.389,5,1941,501,201,54,181,0,3,.359,0.91,0,26.35,Harrison Bader,Philadelphia Phillies
28,44,24,31,12,2,1,4,26,8,0,31,1,.277,112,.331,.420,.751,2,2,.500,.500,1,450,121,47,13,48,0,0,.329,0.77,0,28.00,Troy Johnston,Miami Marlins
27,123,107,143,73,32,0,31,103,36,1,133,1,.277,481,.325,.536,.861,1,7,.875,.125,10,1924,523,258,72,206,0,5,.290,0.75,0,15.52,Shea Langeliers,Athletics
25,48,39,34,20,10,2,5,50,11,0,47,2,.276,170,.328,.447,.775,2,0,.000,1.000,6,706,183,76,21,72,0,0,.365,1.15,0,34.00,Jeremiah Jackson,Baltimore Orioles
23,158,153,114,75,34,1,25,141,55,2,155,6,.276,561,.346,.474,.820,3,8,.727,.273,18,2227,624,266,93,274,0,2,.327,1.34,0,22.44,Tyler Soderstrom,Athletics
29,63,53,48,20,11,0,6,31,7,0,50,2,.276,181,.309,.436,.745,0,1,1.000,.000,6,646,191,79,23,68,0,1,.303,1.10,0,30.17,Amed Rosario,New York Yankees
29,89,67,58,30,12,1,11,56,10,0,67,2,.276,243,.307,.469,.776,1,1,.500,.500,7,942,261,114,39,92,3,2,.315,1.16,1,22.09,Edmundo Sosa,Philadelphia Phillies
30,144,153,124,63,29,0,13,113,45,0,148,1,.276,537,.332,.402,.734,0,0,.---,.---,19,2311,584,216,52,252,0,1,.328,1.23,0,41.31,Carlos Correa,Houston Astros
32,159,144,176,91,33,0,27,131,55,4,169,3,.275,615,.335,.460,.795,3,14,.824,.176,16,2647,678,283,95,275,0,5,.307,0.82,0,22.78,Manny Machado,San Diego Padres
24,124,131,95,56,18,2,19,68,38,0,111,3,.274,405,.341,.469,.810,0,0,.---,.---,9,1750,446,190,80,176,0,0,.289,1.38,0,21.32,Drake Baldwin,Atlanta Braves
37,146,113,144,76,31,1,10,100,36,5,134,4,.274,489,.328,.403,.731,1,5,.833,.167,8,2092,534,197,45,193,0,2,.325,0.78,3,48.90,Paul Goldschmidt,New York Yankees
27,32,18,16,11,5,0,0,21,7,0,20,2,.274,73,.349,.342,.691,0,1,1.000,.000,1,336,84,25,5,28,1,1,.377,1.13,0,-.--,Brett Harris,Athletics
24,154,161,126,85,34,5,17,137,62,6,158,7,.274,577,.349,.438,.787,5,30,.857,.143,7,2506,651,253,68,195,0,5,.329,1.28,0,33.94,Gunnar Henderson,Baltimore Orioles
35,77,34,52,36,8,0,24,96,29,3,68,1,.273,249,.350,.594,.944,0,0,.---,.---,5,1214,281,148,66,121,0,1,.338,0.65,1,10.38,Giancarlo Stanton,New York Yankees
28,48,34,59,17,8,0,6,33,28,5,45,0,.273,165,.367,.430,.797,1,1,.500,.500,1,803,199,71,27,52,0,6,.295,0.58,0,27.50,Yordan Alvarez,Houston Astros
23,78,49,60,38,11,0,8,77,37,0,69,5,.273,253,.375,.411,.786,1,3,.750,.250,1,1225,297,104,35,81,1,1,.361,0.82,0,31.62,Kyle Teel,Chicago White Sox
31,114,101,146,64,28,0,18,70,51,3,118,9,.273,433,.360,.462,.822,1,1,.500,.500,12,1947,495,200,62,194,0,2,.288,0.69,0,24.06,Alex Bregman,Boston Red Sox
30,162,135,166,87,41,1,38,162,61,5,170,15,.272,624,.347,.524,.871,2,1,.333,.667,23,2807,709,327,126,295,0,9,.305,0.81,0,16.42,Pete Alonso,New York Mets
31,162,133,150,98,41,2,29,176,91,2,170,4,.272,624,.366,.484,.850,0,1,1.000,.000,14,3166,724,302,95,271,0,5,.333,0.89,0,21.52,Matt Olson,Atlanta Braves
29,152,122,225,89,25,5,29,90,57,1,160,2,.272,588,.334,.480,.814,2,13,.867,.133,8,2594,656,282,98,262,0,9,.274,0.54,0,20.28,Cody Bellinger,New York Yankees
27,156,167,238,81,29,1,11,60,55,2,170,3,.272,625,.330,.374,.704,5,21,.808,.192,3,2786,693,234,56,168,3,7,.283,0.70,0,56.82,Steven Kwan,Cleveland Guardians
27,108,85,108,55,26,0,11,73,44,1,99,2,.272,364,.353,.434,.787,1,0,.000,1.000,7,1698,411,158,51,141,0,1,.313,0.79,0,33.09,Spencer Horwitz,Pittsburgh Pirates
24,156,117,177,74,27,1,27,135,29,0,158,8,.272,581,.313,.461,.774,7,14,.667,.333,9,2365,624,268,86,238,0,6,.308,0.66,0,21.52,Andy Pages,Los Angeles Dodgers
31,102,100,92,61,19,0,21,87,58,10,103,5,.271,380,.373,.487,.860,0,3,1.000,.000,13,1668,445,185,50,152,0,2,.299,1.09,0,18.10,Corey Seager,Texas Rangers
28,68,19,41,19,9,0,4,32,7,0,34,2,.270,126,.319,.437,.756,1,2,.667,.333,1,558,135,55,16,54,0,0,.333,0.46,0,31.50,Andruw Monasterio,Milwaukee Brewers
36,98,83,68,37,14,0,9,68,22,0,79,9,.270,293,.335,.410,.745,2,7,.778,.222,7,1255,329,120,34,124,1,4,.318,1.22,0,32.56,Starling Marte,New York Mets
27,135,81,129,62,20,8,24,110,22,1,117,2,.270,434,.306,.518,.824,3,9,.750,.250,4,1598,461,225,68,155,0,3,.307,0.63,0,18.08,Mickey Moniak,Colorado Rockies
21,131,129,158,88,35,4,21,121,30,1,148,3,.270,549,.308,.463,.771,7,21,.750,.250,13,2108,589,254,78,218,1,6,.308,0.82,0,26.14,Jackson Chourio,Milwaukee Brewers
33,38,46,25,12,2,1,3,15,2,0,31,2,.270,115,.292,.383,.675,0,0,.---,.---,3,429,121,44,19,51,1,1,.286,1.84,0,38.33,Ildemaro Vargas,Arizona Diamondbacks
34,70,43,38,29,12,0,9,54,24,1,49,1,.269,182,.354,.484,.838,0,3,1.000,.000,6,887,209,88,30,87,0,2,.331,1.13,0,20.22,Rob Refsnyder,Boston Red Sox
27,140,114,99,49,28,2,5,114,56,0,120,0,.269,446,.350,.374,.724,0,1,1.000,.000,3,2052,503,167,53,174,0,1,.351,1.15,0,89.20,Gavin Lux,Cincinnati Reds
22,111,107,91,31,17,0,5,71,32,0,98,4,.268,365,.333,.356,.689,1,0,.000,1.000,8,1583,403,130,36,150,0,2,.320,1.18,0,73.00,Edgar Quero,Chicago White Sox
26,155,160,148,111,27,2,25,129,89,7,159,6,.268,594,.368,.446,.814,7,32,.821,.179,6,2636,691,265,71,168,0,2,.303,1.08,0,23.76,Fernando Tatis Jr.,San Diego Padres
33,134,104,128,43,20,0,7,81,26,2,112,8,.267,419,.319,.365,.684,6,8,.571,.429,8,1841,459,153,44,142,1,5,.313,0.81,0,59.86,Adam Frazier,Kansas City Royals
31,160,149,199,117,35,0,31,131,65,2,172,16,.267,644,.346,.466,.812,6,31,.838,.162,9,2940,732,300,86,223,0,7,.288,0.75,0,20.77,Francisco Lindor,New York Mets
24,160,174,154,106,31,4,32,152,44,5,174,12,.267,652,.324,.474,.798,6,30,.833,.167,15,2496,710,309,95,272,0,2,.302,1.13,0,20.38,Julio Rodríguez,Seattle Mariners
30,110,80,73,43,13,2,5,55,36,0,72,6,.267,270,.361,.385,.746,1,2,.667,.333,6,1314,322,104,31,120,6,4,.313,1.10,0,54.00,Alex Call,Los Angeles Dodgers
26,150,182,162,73,31,12,8,71,47,0,149,6,.266,560,.327,.407,.734,3,10,.769,.231,2,2351,617,228,55,223,0,4,.291,1.12,0,70.00,Jung Hoo Lee,San Francisco Giants
28,119,91,117,47,26,0,9,91,50,1,108,7,.266,406,.356,.397,.753,1,1,.500,.500,9,1879,464,161,47,170,0,1,.322,0.78,0,45.11,Ryan Jeffers,Minnesota Twins
28,136,114,169,91,25,4,22,88,87,7,133,4,.266,500,.377,.464,.841,3,25,.893,.107,8,2306,597,232,73,180,1,3,.282,0.67,2,22.73,Kyle Tucker,Chicago Cubs
31,55,73,45,16,11,0,4,24,10,0,50,3,.266,188,.307,.388,.695,0,3,1.000,.000,3,715,205,73,26,82,0,4,.280,1.62,0,47.00,Masataka Yoshida,Boston Red Sox
29,103,86,92,60,16,5,15,107,29,2,101,1,.266,380,.315,.453,.768,0,7,1.000,.000,9,1559,416,172,64,168,0,6,.326,0.93,0,25.33,Austin Hays,Cincinnati Reds
25,87,52,63,40,12,1,10,77,31,0,68,3,.266,256,.347,.438,.785,1,1,.500,.500,6,1138,294,112,45,107,0,4,.335,0.83,0,25.60,Heriberto Hernández,Miami Marlins
36,45,39,20,13,3,0,2,35,14,0,34,0,.266,128,.338,.336,.674,0,0,.---,.---,4,539,142,43,12,58,0,0,.352,1.95,0,64.00,DJ LeMahieu,New York Yankees
31,138,114,158,64,30,0,26,82,42,1,125,3,.265,471,.326,.495,.821,3,6,.667,.333,7,2023,524,233,78,164,3,5,.269,0.72,0,18.12,Jorge Polanco,Seattle Mariners
35,155,149,181,80,24,1,26,109,55,5,156,4,.265,588,.329,.442,.771,6,10,.625,.375,20,2314,654,260,77,271,1,6,.283,0.82,0,22.62,Jose Altuve,Houston Astros
26,85,74,88,59,10,1,17,80,17,0,87,6,.265,328,.313,.457,.770,2,1,.333,.667,5,1300,352,150,41,97,0,1,.302,0.84,0,19.29,Jordan Westburg,Baltimore Orioles
30,157,155,149,69,24,0,12,122,74,1,151,3,.265,570,.352,.370,.722,1,8,.889,.111,11,2731,654,211,58,204,6,1,.318,1.04,0,47.50,J.P. Crawford,Seattle Mariners
25,140,95,163,57,20,1,22,127,18,0,137,4,.264,518,.293,.434,.727,1,2,.667,.333,11,2056,544,225,75,240,1,3,.309,0.58,0,23.54,Lenyn Sosa,Chicago White Sox
27,76,52,36,25,9,0,3,45,9,0,46,3,.264,174,.309,.368,.677,1,4,.800,.200,4,644,191,64,23,78,3,2,.336,1.44,0,58.00,Christian Koss,San Francisco Giants
31,126,84,133,97,21,7,35,148,41,5,129,7,.264,488,.327,.551,.878,0,24,1.000,.000,0,2028,542,269,83,166,0,6,.302,0.63,0,13.94,Byron Buxton,Minnesota Twins
23,132,139,156,64,23,1,12,71,59,4,129,10,.264,488,.353,.389,.742,1,5,.833,.167,10,2150,564,190,53,177,3,4,.286,0.89,0,40.67,Nolan Schanuel,Los Angeles Angels
21,154,169,156,93,28,0,45,125,41,1,159,3,.264,602,.311,.535,.846,1,7,.875,.125,31,2494,653,322,110,268,0,7,.260,1.08,0,13.38,Junior Caminero,Tampa Bay Rays
27,160,153,202,72,33,1,32,107,49,5,164,7,.264,621,.323,.475,.798,0,1,1.000,.000,14,2572,682,295,113,289,0,5,.271,0.76,0,19.41,Vinnie Pasquantino,Kansas City Royals
23,162,166,117,102,31,7,22,181,67,10,166,2,.264,629,.336,.440,.776,8,37,.822,.178,14,2678,699,277,86,272,0,1,.337,1.42,0,28.59,Elly De La Cruz,Cincinnati Reds
22,115,88,134,59,25,6,16,108,33,1,116,4,.264,440,.317,.457,.774,2,1,.333,.667,4,1703,483,201,67,195,1,5,.312,0.66,0,27.50,Jackson Merrill,San Diego Padres
33,150,174,82,88,21,0,29,167,64,6,151,6,.264,573,.343,.452,.795,6,16,.727,.273,6,2601,644,259,103,250,0,1,.323,2.12,0,19.76,Christian Yelich,Milwaukee Brewers
27,130,91,96,56,22,3,9,93,57,0,98,6,.263,372,.368,.411,.779,7,16,.696,.304,8,1792,441,153,54,164,3,3,.326,0.95,0,41.33,Isaac Collins,Milwaukee Brewers
26,160,156,139,120,20,1,43,137,127,13,152,3,.263,577,.396,.525,.921,4,38,.905,.095,17,2968,715,303,105,248,1,6,.270,1.12,1,13.42,Juan Soto,New York Mets
32,157,129,148,91,29,0,25,176,33,1,161,7,.263,612,.308,.433,.741,1,31,.969,.031,3,2472,654,265,96,259,1,1,.330,0.87,0,24.48,Trevor Story,Boston Red Sox
32,136,126,151,63,30,0,11,94,48,3,129,4,.263,491,.328,.391,.719,2,20,.909,.091,12,2100,552,192,53,234,1,8,.299,0.83,0,44.64,Xander Bogaerts,San Diego Padres
